Name,Category,Genre,Notes,Episodes,Finished,Attachments
Arrival,Movie,"Science Fiction,Top Rated",DOwnload or watch before expiry,,,
Circle,Movie,"Science Fiction,Psychological",,,,
Birdman,Movie,"Drama,Psychological,Top Rated",Watch before expiry,,,
The Code,Movie,Documentary,By Sautoy,,,
Ferriss Bueller’s day off,Movie,"Comedy,Action/Adventure",,,,
Ladybird,Movie,"Comedy,Drama",,,,
Tron,Movie,"Science Fiction,Anime,Action/Adventure",,,,
GoodFellas,"Movie,Deadline","Top Rated,Drama",Watch Before Expiry on 29th Apr 2020,,,
Jurassic Park,"Movie,Deadline","Science Fiction,Top Rated",Watch before expiry,,,
Irishman,"Movie,Deadline","Action/Adventure,Drama,Crime",,,,
Eyes Wide Shut,"Movie,Deadline","Drama,Psychological,Crime,Top Rated",Watch before expiry,,,
Blade Runner,"Movie,Deadline","Science Fiction,Top Rated",,,,
Ghostbusters,"Movie,Deadline",Comedy,,,,
Freud,Series,"History	,Drama,Action/Adventure",Fiction Detective Freud,,,
JoJo Bizarre Adventure,Series,Anime,,,,
Narcos,Series,"Action/Adventure,Drama,Top Rated",,,,
HunterxHunter,Series,Anime,,,,
My hero Academia,Series,Anime,,,,
Psycho Pass,Series,"Anime,Top Rated",,,,
Stein’s Gate,Series,"Anime,Top Rated,Science Fiction",,,,
Gintama,Series,"Comedy,Anime",,,,
Cooked(by Pollan),Series,Documentary,,,,
Sense8,Series,Science Fiction,Season 2,,,
World War 2 colour,"Series,Deadline",History	,Watch Before expiry ,,,
Greatest Events of World War 2,"Series,Deadline",History	,,,,
Bojack Horseman,"Series,Download HDD","Comedy,Top Rated,Anime",Download and save to Hard Disk,,,
Mandalorian,"Series,Download HDD","Science Fiction,Top Rated",Not of Netflix,,,
South Park,"Series,Download HDD","Anime,Comedy,Top Rated",Download into hard drive all seasons,,,
